roll_number,face_status,raw_images,processed_images,rejected_images
22102001,uncovered,200,174,26
22102002,covered,200,0,0
22102003,uncovered,349,218,131
22102004,uncovered,264,260,4
22102005,uncovered,62,58,4
22102006,uncovered,200,188,12
22102007,uncovered,136,85,51
22102008,uncovered,200,197,3
22102009,uncovered,88,73,15
22102010,uncovered,200,163,37
22102011,uncovered,74,73,1
22102012,uncovered,200,111,89
22102013,uncovered,169,146,23
22102014,uncovered,58,53,5
22102015,uncovered,150,150,0
22102016,uncovered,47,47,0
22102017,uncovered,200,160,40
22102018,uncovered,150,135,15
22102019,uncovered,57,57,0
22102020,uncovered,60,54,6
22102021,uncovered,150,112,38
22102022,uncovered,200,160,40
22102023,uncovered,200,200,0
22102024,uncovered,200,186,14
22102025,uncovered,200,115,85
22102026,uncovered,200,170,30
22102027,uncovered,200,185,15
22102028,uncovered,200,200,0
22102029,uncovered,200,197,3
22102030,covered,200,0,0
22102031,covered,200,0,0
22102032,uncovered,200,142,58
22102033,covered,200,0,0
22102034,uncovered,200,160,40
22102035,uncovered,150,114,36
22102036,uncovered,140,131,9
22102037,uncovered,358,321,37
22102038,uncovered,367,341,26
22102039,uncovered,335,327,8
22102040,uncovered,300,274,26
