fingerprint_id,roll_number,finger,template_id,face_status,status
FP001,22102001,right_index,T001,uncovered,active
FP002,22102002,right_index,T002,covered,active
FP003,22102003,right_index,T003,uncovered,active
FP004,22102004,right_index,T004,uncovered,active
FP005,22102005,right_index,T005,uncovered,active
FP006,22102006,right_index,T006,uncovered,active
FP007,22102007,right_index,T007,uncovered,active
FP008,22102008,right_index,T008,uncovered,active
FP009,22102009,right_index,T009,uncovered,active
FP010,22102010,right_index,T010,uncovered,active
FP011,22102011,right_index,T011,uncovered,active
FP012,22102012,right_index,T012,uncovered,active
FP013,22102013,right_index,T013,uncovered,active
FP014,22102014,right_index,T014,uncovered,active
FP015,22102015,right_index,T015,uncovered,active
FP016,22102016,right_index,T016,uncovered,active
FP017,22102017,right_index,T017,uncovered,active
FP018,22102018,right_index,T018,uncovered,active
FP019,22102019,right_index,T019,uncovered,active
FP020,22102020,right_index,T020,uncovered,active
FP021,22102021,right_index,T021,uncovered,active
FP022,22102022,right_index,T022,uncovered,active
FP023,22102023,right_index,T023,uncovered,active
FP024,22102024,right_index,T024,uncovered,active
FP025,22102025,right_index,T025,uncovered,active
FP026,22102026,right_index,T026,uncovered,active
FP027,22102027,right_index,T027,uncovered,active
FP028,22102028,right_index,T028,uncovered,active
FP029,22102029,right_index,T029,uncovered,active
FP030,22102030,right_index,T030,covered,active
FP031,22102031,right_index,T031,covered,active
FP032,22102032,right_index,T032,uncovered,active
FP033,22102033,right_index,T033,covered,active
FP034,22102034,right_index,T034,uncovered,active
FP035,22102035,right_index,T035,uncovered,active
FP036,22102036,right_index,T036,uncovered,active
FP037,22102037,right_index,T037,uncovered,active
FP038,22102038,right_index,T038,uncovered,active
FP039,22102039,right_index,T039,uncovered,active
FP040,22102040,right_index,T040,uncovered,active
