roll_number,raw_images,processed_images,rejected_images,skipped_covered_images,processing_success_rate
22102001,200,174,26,0,87.00
22102002,200,0,0,200,0.00
22102003,349,218,131,0,62.46
22102004,264,260,4,0,98.48
22102005,62,58,4,0,93.55
22102006,200,188,12,0,94.00
22102007,136,85,51,0,62.50
22102008,200,197,3,0,98.50
22102009,88,73,15,0,82.95
22102010,200,163,37,0,81.50
22102011,74,73,1,0,98.65
22102012,200,111,89,0,55.50
22102013,169,146,23,0,86.39
22102014,58,53,5,0,91.38
22102015,150,150,0,0,100.00
22102016,47,47,0,0,100.00
22102017,200,160,40,0,80.00
22102018,150,135,15,0,90.00
22102019,57,57,0,0,100.00
22102020,60,54,6,0,90.00
22102021,150,112,38,0,74.67
22102022,200,160,40,0,80.00
22102023,200,200,0,0,100.00
22102024,200,186,14,0,93.00
22102025,200,115,85,0,57.50
22102026,200,170,30,0,85.00
22102027,200,185,15,0,92.50
22102028,200,200,0,0,100.00
22102029,200,197,3,0,98.50
22102030,200,0,0,200,0.00
22102031,200,0,0,200,0.00
22102032,200,142,58,0,71.00
22102033,200,0,0,200,0.00
22102034,200,160,40,0,80.00
22102035,150,114,36,0,76.00
22102036,140,131,9,0,93.57
22102037,358,321,37,0,89.66
22102038,367,341,26,0,92.92
22102039,335,327,8,0,97.61
22102040,300,274,26,0,91.33
TOTAL,7464,5737,927,800,86.09
