original_folder,new_roll_number,image_count
2210201,22102001,200
covered4,22102002,200
22102023,22102003,349
22102024,22102004,264
22102012,22102005,62
22102014,22102006,200
22102018,22102007,136
2210202,22102008,200
22102021,22102009,88
22102022,22102010,200
22102003,22102011,74
22102025,22102012,200
22102027,22102013,169
22102030,22102014,58
22102034,22102015,150
22102036_flip,22102016,47
22102037,22102017,200
22102039,22102018,150
2210204..flip,22102019,57
22102040,22102020,60
22102042,22102021,150
22102071,22102022,200
22102044,22102023,200
22102046,22102024,200
22102048,22102025,200
22102050,22102026,200
22102055,22102027,200
2210206,22102028,200
22102061,22102029,200
covered3,22102030,200
Covered1,22102031,200
22102067,22102032,200
Covered,22102033,200
22102070,22102034,200
2210208,22102035,150
2210209,22102036,140
22102013,22102037,358
22102016,22102038,367
22102029,22102039,335
22102043,22102040,300
