source_image,face_index,roll_number,confidence,detector_confidence,x,y,w,h
class_Image_01.jpeg,1,22102035,0.9438644854666166,1.0,724,551,55,69
class_Image_01.jpeg,2,22102039,0.9784370853524892,1.0,110,594,83,106
class_Image_01.jpeg,3,22102037,0.8260750081935719,1.0,887,614,82,110
class_Image_01.jpeg,4,22102038,0.7939528699877986,1.0,1204,554,44,55
class_Image_01.jpeg,5,22102003,0.6036065288428039,1.0,553,589,77,100
class_Image_01.jpeg,6,22102007,0.7270991094005136,1.0,406,577,54,67
class_Image_01.jpeg,7,22102040,0.7542888792538494,1.0,1470,599,82,91
class_Image_01.jpeg,8,Unknown,0.24296200658750386,0.85,482,805,18,24
class_Image_02.jpeg,1,22102040,0.7295253510831505,1.0,1523,734,73,90
class_Image_02.jpeg,2,22102007,0.6849723528374483,1.0,371,715,51,59
class_Image_02.jpeg,3,22102039,0.9784231627318255,1.0,81,773,76,96
class_Image_02.jpeg,4,22102035,0.8343219008486702,1.0,599,698,53,63
class_Image_02.jpeg,5,22102037,0.8296699702568805,1.0,838,813,81,104
class_Image_02.jpeg,6,22102003,0.6350510347279997,1.0,489,768,70,94
class_Image_02.jpeg,7,22102038,0.9364971531731773,0.99,814,700,49,65
class_Image_03.jpeg,1,22102040,0.8027513133430485,1.0,1442,549,75,90
class_Image_03.jpeg,2,22102039,0.9721282072414587,1.0,105,582,83,103
class_Image_03.jpeg,3,Unknown,0.4539125012804115,1.0,1203,551,45,48
class_Image_03.jpeg,4,22102035,0.9658272198709515,1.0,720,535,54,70
class_Image_03.jpeg,5,22102007,0.6894972218374881,1.0,402,563,52,67
class_Image_03.jpeg,6,22102037,0.8461219763676345,1.0,877,586,91,115
class_Image_03.jpeg,7,Unknown,0.5387531458147398,1.0,545,570,75,97
class_Image_04.jpeg,1,22102038,0.8376257187772722,1.0,1164,518,48,58
class_Image_04.jpeg,2,22102039,0.9753696126503919,1.0,97,571,84,106
class_Image_04.jpeg,3,22102007,0.8198110237240269,1.0,396,559,55,66
class_Image_04.jpeg,4,22102035,0.8930185145095837,1.0,718,532,54,68
class_Image_04.jpeg,5,22102040,0.9360813414737126,1.0,1439,551,74,87
class_Image_04.jpeg,6,22102037,0.8063827329114367,1.0,874,586,85,107
class_Image_04.jpeg,7,22102003,0.6252585289541527,1.0,536,558,78,102
class_Image_05.jpeg,1,22102038,0.6718510529921157,1.0,1171,534,44,54
class_Image_05.jpeg,2,22102007,0.5613742550435732,1.0,381,564,57,69
class_Image_05.jpeg,3,22102039,0.9610090712220738,1.0,68,570,87,107
class_Image_05.jpeg,4,22102035,0.8157568163334966,1.0,706,537,56,70
class_Image_05.jpeg,5,22102040,0.888265463194284,1.0,1436,552,75,90
class_Image_05.jpeg,6,22102037,0.6557332360350008,1.0,866,572,87,115
class_Image_05.jpeg,7,22102003,0.572325447418065,0.99,522,559,77,96
class_Image_06.jpeg,1,22102037,0.8940220196594679,1.0,862,564,92,118
class_Image_06.jpeg,2,22102039,0.9769294816720803,1.0,65,571,86,108
class_Image_06.jpeg,3,22102040,0.8959056059983963,1.0,1429,552,75,92
class_Image_06.jpeg,4,22102038,0.9170046818168488,1.0,1171,530,40,56
class_Image_06.jpeg,5,22102007,0.6070716540597157,1.0,381,566,54,68
class_Image_06.jpeg,6,22102035,0.9099465578446395,1.0,703,538,55,69
class_Image_06.jpeg,7,22102003,0.6245114781868155,0.99,519,558,77,98
